healpix, glon, glat, ra, dec
299, 162.98500, -16.75814, 59.06250, 31.38817
300, 164.80749, -15.11701, 61.87500, 31.38817
301, 164.66680, -13.27694, 63.28125, 32.79717
302, 162.90868, -14.91449, 60.46875, 32.79717
303, 162.77843, -13.06833, 61.87500, 34.22887
304, 168.23770, -11.66428, 67.50000, 31.38817
305, 167.97768, -9.83693, 68.90625, 32.79717
306, 166.35577, -11.58320, 66.09375, 32.79717
307, 166.10192, -9.74962, 67.50000, 34.22887
308, 167.66619, -8.01221, 70.31250, 34.22887
309, 167.30021, -6.19080, 71.71875, 35.68533
310, 165.79327, -7.91756, 68.90625, 35.68533
311, 165.42657, -6.08765, 70.31250, 37.16890
312, 164.47329, -11.43614, 64.68750, 34.22887
313, 164.22440, -9.59507, 66.09375, 35.68533
314, 162.59198, -11.22003, 63.28125, 35.68533
315, 162.34662, -9.36996, 64.68750, 37.16890
316, 163.91717, -7.75420, 67.50000, 37.16890
317, 163.54808, -5.91410, 68.90625, 38.68219
318, 162.03913, -7.51854, 66.09375, 38.68219
319, 161.66568, -5.66619, 67.50000, 40.22818
320, 174.30863, -4.17773, 78.75000, 31.38817
321, 173.84024, -2.39285, 80.15625, 32.79717
322, 172.46368, -4.31658, 77.34375, 32.79717
323, 171.99291, -2.52676, 78.75000, 34.22887
324, 173.31998, -0.61695, 81.56250, 34.22887
325, 172.74392, 1.14873, 82.96875, 35.68533
326, 171.46703, -0.74543, 80.15625, 35.68533
327, 170.88187, 1.02619, 81.56250, 37.16890
328, 170.60963, -4.39777, 75.93750, 34.22887
329, 170.13530, -2.60186, 77.34375, 35.68533
330, 168.74696, -4.41791, 74.53125, 35.68533
331, 168.26766, -2.61453, 75.93750, 37.16890
332, 169.60236, -0.81377, 78.75000, 37.16890
333, 169.00633, 0.96530, 80.15625, 38.68219
334, 167.72593, -0.81812, 77.34375, 38.68219
335, 167.11694, 0.97017, 78.75000, 40.22818
336, 172.10770, 2.90281, 84.37500, 37.16890
337, 171.40639, 4.64367, 85.78125, 38.68219
338, 170.23274, 2.78671, 82.96875, 38.68219
339, 169.51435, 4.53453, 84.37500, 40.22818
340, 170.63449, 6.36951, 87.18750, 40.22818
341, 169.78576, 8.07823, 88.59375, 41.81031
342, 168.72069, 6.26783, 85.78125, 41.81031
343, 168.36184, 8.83080, 88.54839, 43.40686
344, 168.34215, 2.73396, 81.56250, 40.22818
345, 167.60404, 4.49067, 82.96875, 41.81031
346, 166.43514, 2.74901, 80.15625, 41.81031
347, 166.16814, 5.21853, 82.74194, 43.40686
348, 167.29243, 7.00698, 85.64516, 43.40686
349, 166.94034, 9.57303, 88.50000, 44.99388
350, 165.86712, 7.73596, 85.50000, 44.99388
351, 165.52050, 10.30474, 88.44828, 46.57185
352, 166.87624, -4.37344, 73.12500, 37.16890
353, 166.39027, -2.56098, 74.53125, 38.68219
354, 164.99807, -4.26059, 71.71875, 38.68219
355, 164.50340, -2.43713, 73.12500, 40.22818
356, 165.83770, -0.75439, 75.93750, 40.22818
357, 165.21323, 1.04524, 77.34375, 41.81031
358, 163.93755, -0.61816, 74.53125, 41.81031
359, 163.75282, 1.75777, 76.93548, 43.40686
360, 163.11305, -4.07534, 70.31250, 40.22818
361, 162.60731, -2.23860, 71.71875, 41.81031
362, 161.22178, -3.81337, 68.90625, 41.81031
363, 161.11129, -1.53031, 71.12903, 43.40686
364, 162.46062, 0.09076, 74.03226, 43.40686
365, 162.29548, 2.46146, 76.50000, 44.99388
366, 160.98646, 0.79161, 73.50000, 44.99388
367, 160.84025, 3.15627, 76.03448, 46.57185
368, 164.98846, 3.46793, 79.83871, 43.40686
369, 164.73544, 5.93652, 82.50000, 44.99388
370, 163.54502, 4.17741, 79.50000, 44.99388
371, 163.30511, 6.64450, 82.24138, 46.57185
372, 164.44395, 8.45462, 85.34483, 46.57185
373, 164.10155, 11.02578, 88.39286, 48.14121
374, 163.02216, 9.16281, 85.17857, 48.14121
375, 162.68280, 11.73597, 88.33333, 49.70239
376, 162.10392, 4.87735, 79.13793, 46.57185
377, 161.87633, 7.34235, 81.96429, 48.14121
378, 160.66427, 5.56767, 78.75000, 48.14121
379, 160.44830, 8.02994, 81.66667, 49.70239
380, 161.60102, 9.86036, 85.00000, 49.70239
